algorithm,input_type,n,avg_time_sec
Counting Sort,reverse_sorted,2000,0.0005795408000011549
Counting Sort,reverse_sorted,5000,0.0014185607999991135
Counting Sort,reverse_sorted,10000,0.002891124799998579
Counting Sort,nearly_sorted,100,4.566160000081254e-05
Counting Sort,nearly_sorted,500,0.0001312466000030099
Counting Sort,nearly_sorted,1000,0.00028019559999847843
Counting Sort,nearly_sorted,2000,0.0005605946000031281
Counting Sort,nearly_sorted,5000,0.0014382705999963718
Counting Sort,nearly_sorted,10000,0.0029000908000028857
Radix Sort,random,100,6.235780000167779e-05
Radix Sort,random,500,0.00044006799999749544
Radix Sort,random,1000,0.0009285830000038686
Radix Sort,random,2000,0.0023077833999991526
Radix Sort,random,5000,0.0062570075999985875
Radix Sort,random,10000,0.012993174999999723
Radix Sort,sorted,100,5.8896600000935e-05
Radix Sort,sorted,500,0.0003186151999983622
Radix Sort,sorted,1000,0.0006557407999991938
Radix Sort,sorted,2000,0.0018128633999964449
Radix Sort,sorted,5000,0.004743263999995406
Radix Sort,sorted,10000,0.009750600600000325
Radix Sort,reverse_sorted,100,7.695780000460672e-05
Radix Sort,reverse_sorted,500,0.0003096146000018507
Radix Sort,reverse_sorted,1000,0.0008772858000043015
Radix Sort,reverse_sorted,2000,0.0017696267999980364
Radix Sort,reverse_sorted,5000,0.004722207599999706
Radix Sort,reverse_sorted,10000,0.012202448799999387
Radix Sort,nearly_sorted,100,4.867819999958556e-05
Radix Sort,nearly_sorted,500,0.00033824760000129573
Radix Sort,nearly_sorted,1000,0.0006667538000016294
Radix Sort,nearly_sorted,2000,0.0017512912000000823
Radix Sort,nearly_sorted,5000,0.004698170599999685
Radix Sort,nearly_sorted,10000,0.010173230600000239
Tim Sort,random,100,1.528360000122575e-05
Tim Sort,random,500,4.634320000320713e-05
Tim Sort,random,1000,0.00010165500000027805
Tim Sort,random,2000,0.0002409252000006745
Tim Sort,random,5000,0.0006650747999998429
Tim Sort,random,10000,0.0014899077999956489
Tim Sort,sorted,100,1.2150199998472999e-05
Tim Sort,sorted,500,3.5543999956644257e-06
Tim Sort,sorted,1000,1.4824599998064513e-05
Tim Sort,sorted,2000,1.644439999495262e-05
Tim Sort,sorted,5000,3.8197000003492575e-05
Tim Sort,sorted,10000,5.39451999998164e-05
Tim Sort,reverse_sorted,100,1.3733999992382451e-06
Tim Sort,reverse_sorted,500,1.5820800001620228e-05
Tim Sort,reverse_sorted,1000,8.3872000033125e-06
Tim Sort,reverse_sorted,2000,1.6498199997272422e-05
Tim Sort,reverse_sorted,5000,4.32499999931224e-05
Tim Sort,reverse_sorted,10000,8.576680000089709e-05
Tim Sort,nearly_sorted,100,4.6630000042569005e-06
Tim Sort,nearly_sorted,500,2.846440000325856e-05
Tim Sort,nearly_sorted,1000,5.8179000001246094e-05
Tim Sort,nearly_sorted,2000,0.00010562559999698351
Tim Sort,nearly_sorted,5000,0.0002545412000017677
Tim Sort,nearly_sorted,10000,0.0005119323999991821
